Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 11v-12r;;FRAN126_0126_L.jpg;Bagneux;92220;92007;48.8;44257
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;2290.;2043.;49.466667;3.283333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;3460.;3015.;46.65;44230
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;36210;36011;47.183333;1.75
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;49400;49016;47.25;-0.083333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;51260;51032;48.566667;3.833333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;54170;54041;48.55;5.883333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;79290;79026;47.083333;-0.216667
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 12v-13r;;FRAN126_0127_L.jpg;Bagneux;92220;92007;48.8;44257
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;2290.;2043.;49.466667;3.283333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;3460.;3015.;46.65;44230
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;36210;36011;47.183333;1.75
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;49400;49016;47.25;-0.083333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;51260;51032;48.566667;3.833333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;54170;54041;48.55;5.883333
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;79290;79026;47.083333;-0.216667
93AJ/316;Carnet n°7;Bagneux (Hauts-de-Seine);Papier;30,5 x 9,5 cm;fol. 13v-14r;;FRAN126_0128_L.jpg;Bagneux;92220;92007;48.8;44257
93AJ/316;Carnet n°7;Buvy (?);Papier;30,5 x 9,5 cm;fol. 14v-15r;;FRAN126_0129_L.jpg;;;;;
93AJ/316;Carnet n°7;Cambronne[-lès-Clermont ?];Papier;30,5 x 9,5 cm;fol. 15v-16r;;FRAN126_0130_L.jpg;Cambronne-lès-Clermont;60290;60120;49.333333;44288
93AJ/316;Carnet n°7;Creil;Papier;30,5 x 9,5 cm;fol. 16v-17r;;FRAN126_0131_L.jpg;Creil;60100;60175;49.266667;2.483333
93AJ/316;Carnet n°7;Élincourt-Sainte-Marguerite;Papier;30,5 x 9,5 cm;fol. 17v-18r;;FRAN126_0132_L.jpg;Élincourt-Sainte-Marguerite;60157;60206;49.533333;2.816667
93AJ/316;Carnet n°7;Loctudy;Papier;30,5 x 9,5 cm;fol. 18v-19r;;FRAN126_0133_L.jpg;Loctudy;29750;29135;47.833333;-4.166667
93AJ/316;Carnet n°7;[Blanc.];Papier;30,5 x 9,5 cm;fol. 19v-20r;Ne pas numériser des fol. 20v à 49r [blancs].;FRAN126_0134_L.jpg;;;;;
93AJ/316;Carnet n°7;[Esquisse];Papier;30,5 x 9,5 cm;fol. 49v-50r;;FRAN126_0135_L.jpg;;;;;
93AJ/316;Carnet n°7;Falaise;Papier;30,5 x 9,5 cm;fol. 50v-51r;;FRAN126_0136_L.jpg;Falaise;8400.;8164.;49.366667;4.733333
93AJ/316;Carnet n°7;Falaise;Papier;30,5 x 9,5 cm;fol. 50v-51r;;FRAN126_0136_L.jpg;Falaise;14700;14258;48.9;-0.2
93AJ/316;Carnet n°7;Falaise;Papier;30,5 x 9,5 cm;fol. 51v-52r;;FRAN126_0137_L.jpg;Falaise;8400.;8164.;49.366667;4.733333
93AJ/316;Carnet n°7;Falaise;Papier;30,5 x 9,5 cm;fol. 51v-52r;;FRAN126_0137_L.jpg;Falaise;14700;14258;48.9;-0.2
93AJ/316;Carnet n°7;[Esquisse];Papier;30,5 x 9,5 cm;fol. 52v-53r;;FRAN126_0138_L.jpg;;;;;
