Nom Société,Date_Creation,Ville,Id_CTHS
Société académique des Hautes-Pyrénées (SAHP),1853-01-01T01:00:00Z,Tarbes,https://cths.fr/an/societe.php?id=550
Société académique du Bas-Rhin,1799-01-01T01:00:00Z,Obernai,https://cths.fr/an/societe.php?id=1880
Société académique du Boulonnais,1863-01-01T01:00:00Z,Boulogne-sur-Mer,https://cths.fr/an/societe.php?id=1295
Société académique du Cotentin,1872-01-01T01:00:00Z,Coutances,https://cths.fr/an/societe.php?id=100795
Société académique du Puy-en-Velay et de la Haute-Loire,1798-01-01T01:00:00Z,Le Puy-en-Velay,https://cths.fr/an/societe.php?id=1602
Société académique d’architecture de Lyon (SAAL),1829-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=1225
Société académique indochinoise de Paris,1877-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100359
"Société agricole, scientifique et littéraire des Pyrénées-Orientales (SASL)",1833-01-01T01:00:00Z,Perpignan,https://cths.fr/an/societe.php?id=1182
Société anatomique de Nantes,1879-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=3165
Société anatomique de Paris (SAP),1803-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1236
Société archéologique d'Eure-et-Loir (SAEL),1856-01-01T01:00:00Z,Chartres,https://cths.fr/an/societe.php?id=319
Société archéologique de Bordeaux (SAB),1873-01-01T01:00:00Z,Bordeaux,https://cths.fr/an/societe.php?id=124
Société archéologique de Montpellier  (SAM),1833-01-01T01:00:00Z,Montpellier,https://cths.fr/an/societe.php?id=1609
Société archéologique de Sens (SAS),1844-01-01T01:00:00Z,Sens,https://cths.fr/an/societe.php?id=828
Société archéologique de Touraine (SAT),1840-01-01T01:00:00Z,Tours,https://cths.fr/an/societe.php?id=332
Société archéologique du Finistère (SAF),1873-01-01T01:00:00Z,Quimper,https://cths.fr/an/societe.php?id=757
Société archéologique du Midi de la France (SAM),1831-01-01T01:00:00Z,Toulouse,https://cths.fr/an/societe.php?id=1635
Société archéologique du Morbihan,1858-01-01T01:00:00Z,Vannes,https://cths.fr/an/societe.php?id=1910
Société archéologique et historique d'Ille-et-Vilaine (SAHIV),1844-01-01T01:00:00Z,Rennes,https://cths.fr/an/societe.php?id=1741
Société archéologique et historique de l'arrondissement d'Avesnes (SAHAA),1831-01-01T01:00:00Z,Avesnes-sur-Helpe,https://cths.fr/an/societe.php?id=1497
Société archéologique et historique de l'Orléanais (SAHO),1848-01-01T01:00:00Z,Orléans,https://cths.fr/an/societe.php?id=329
Société archéologique et historique de la Charente  (SAHC),1844-01-01T01:00:00Z,Angoulême,https://cths.fr/an/societe.php?id=1868
Société archéologique et historique de Nantes et de Loire-Atlantique (SAHNLA),1845-01-01T01:00:00Z,Nantes,https://cths.fr/an/societe.php?id=1520
Société archéologique et historique de Vervins et de la Thiérache (SAHVT),1873-01-01T01:00:00Z,Vervins,https://cths.fr/an/societe.php?id=1131
Société archéologique et historique des Côtes d'Armor,1843-01-01T01:00:00Z,Saint-Brieuc,https://cths.fr/an/societe.php?id=2922
Société archéologique et historique du Châtillonnais (SAHC21),1880-01-01T01:00:00Z,Châtillon-sur-Seine,https://cths.fr/an/societe.php?id=100036
Société archéologique et historique du Limousin (SAHLIM),1845-01-01T01:00:00Z,Limoges,https://cths.fr/an/societe.php?id=51
Société archéologique et historique du Tarn-et-Garonne (SAHTG),1866-01-01T01:00:00Z,Montauban,https://cths.fr/an/societe.php?id=3254
"Société archéologique, historique et scientifique de Soissons (SAHS)",1650-01-01T01:00:00Z,Soissons,https://cths.fr/an/societe.php?id=1670
"Société archéologique, scientifique et littéraire de Béziers (SASLB)",1723-01-01T01:00:00Z,Béziers,https://cths.fr/an/societe.php?id=654
"Société archéologique, scientifique et littéraire du Vendômois (SAV)",1862-01-01T01:00:00Z,Vendôme,https://cths.fr/an/societe.php?id=853
"Société ariégeoise des sciences, lettres et arts (SASLA)",1881-01-01T01:00:00Z,Foix,https://cths.fr/an/societe.php?id=265
Société asiatique,1822-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1136
Société astronomique de France (SAF),1887-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2111
Société belfortaine d'émulation (SBE),1872-01-01T01:00:00Z,Belfort,https://cths.fr/an/societe.php?id=787
Société bibliographique,1868-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3012
Société botanique de France (SBF),1854-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=349
Société botanique de Lyon,1872-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100025
Société botanique du Centre-Ouest (SBCO),1888-01-01T01:00:00Z,Jarnac,https://cths.fr/an/societe.php?id=706
Société bourguignonne de géographie et d'histoire,1881-01-01T01:00:00Z,Dijon,https://cths.fr/an/societe.php?id=2967
Société cantalienne,1838-01-01T01:00:00Z,Aurillac,https://cths.fr/an/societe.php?id=3023
Société centrale d'agriculture de l'Aveyron,1798-01-01T01:00:00Z,Rodez,https://cths.fr/an/societe.php?id=3022
Société centrale d'agriculture de la Seine-Maritime (SCA),1762-01-01T01:00:00Z,Bois-Guillaume,https://cths.fr/an/societe.php?id=1883
Société centrale d'agriculture du département de la Savoie,1857-01-01T01:00:00Z,Chambéry,https://cths.fr/an/societe.php?id=100664
Société centrale d'agriculture et d'horticulture de Nice et des Alpes-Maritimes (SCAH-Nice),1860-01-01T01:00:00Z,Nice,https://cths.fr/an/societe.php?id=4002
Société centrale d'apiculture (SCA),1855-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100560
Société centrale d'horticulture de Caen et du Calvados (SCHCC),1835-01-01T01:00:00Z,Caen,https://cths.fr/an/societe.php?id=100059
Société centrale d'horticulture de France (SNHF),1827-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=4934
Société centrale des architectes français,1840-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100405
Société centrale d’horticulture de Nancy (SCHN),1877-01-01T01:00:00Z,Nancy,https://cths.fr/an/societe.php?id=100342
Société chimique de France (SFC,1857-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=1028
Société chimique de France (SCF),1857-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=3294
Société chimique de Paris,1858-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=2902
Société chrétienne,1804-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=100514
Société cuvierienne,1838-01-01T01:00:00Z,Paris,https://cths.fr/an/societe.php?id=100784
Société d'agriculture  de Lyon,1761-01-01T01:00:00Z,Lyon,https://cths.fr/an/societe.php?id=2815
Société d'agriculture de Compiègne,1844-01-01T01:00:00Z,Compiègne,https://cths.fr/an/societe.php?id=100766
Société d'agriculture de l'arrondissement de Grenoble,1836-01-01T01:00:00Z,Grenoble,https://cths.fr/an/societe.php?id=100605
Société d'agriculture de l'arrondissement de Meaux,1838-01-01T01:00:00Z,Meaux,https://cths.fr/an/societe.php?id=1462
Société d'agriculture de l'arrondissement de Saint-Omer,1819-01-01T01:00:00Z,Saint-Omer,https://cths.fr/an/societe.php?id=100323
Société d'agriculture de la Corse,1818-01-01T01:00:00Z,Ajaccio,https://cths.fr/an/societe.php?id=100349
Société d'agriculture de La Rochelle,1003-01-01T01:00:00Z,La Rochelle,https://cths.fr/an/societe.php?id=100308
Société d'agriculture du Cher,1818-01-01T01:00:00Z,Bourges,https://cths.fr/an/societe.php?id=100382
Société d'agriculture du département de l'Hérault,1808-01-01T01:00:00Z,Montpellier,https://cths.fr/an/societe.php?id=100525
